1,2018/10/30 09:59:51:908,49.735,0,48.568,0,49.568,0,40.117,0,40.494,0,58.806,0,45.336,0,43.945,0,46.58,0,45.656,0,45.899,0,43.557,0,67.666,0,49.012,0,50.702,0,50.005,0,50.643,0,50.565,0,56.096,0,45.924,0,46.441,0,47.968,0,45.437,0,47.386,0,45.095,0,44.826,0,44.593,0,46.947,0,45.945,0,46.414,0
2,2018/10/30 10:00:01:892,49.451,0,48.584,0,49.675,0,39.316,0,40.218,0,58.817,0,46.821,0,44.129,0,46.737,0,47.057,0,45.455,0,42.521,0,68.495,0,49.145,0,50.841,0,49.628,0,49.41,0,50.736,0,56.163,0,45.118,0,46.762,0,48.871,0,45.302,0,47.054,0,45.839,0,43.991,0,44.574,0,46.907,0,46.67,0,45.827,0
3,2018/10/30 10:00:11:892,49.362,0,47.989,0,50.031,0,40.071,0,39.315,0,58.772,0,45.358,0,44.665,0,47.492,0,45.859,0,45.837,0,43.768,0,67.969,0,49.052,0,51.422,0,50.253,0,50.005,0,50.72,0,55.972,0,46.297,0,46.468,0,48.475,0,45.34,0,46.315,0,45.292,0,44.529,0,45.356,0,46.022,0,46.74,0,46.13,0
4,2018/10/30 10:00:21:892,50.271,0,48.801,0,49.702,0,40.165,0,39.615,0,57.609,0,46.131,0,44.673,0,46.675,0,46.305,0,45.107,0,43.032,0,68.555,0,49.585,0,51.417,0,49.943,0,49.809,0,50.056,0,55.278,0,46.156,0,46.151,0,48.536,0,45.805,0,46.313,0,45.352,0,44.668,0,45.115,0,46.009,0,46.713,0,45.8,0
5,2018/10/30 10:00:31:892,50.606,0,50.135,0,49.766,0,39.462,0,40.534,0,58.123,0,45.853,0,44.773,0,46.548,0,46.397,0,44.86,0,44.13,0,67.625,0,49.429,0,51.586,0,50.163,0,49.705,0,50.522,0,56.09,0,45.579,0,47.71,0,48.885,0,46.173,0,47.24,0,46.003,0,44.15,0,45.037,0,46.291,0,46.887,0,45.842,0
6,2018/10/30 10:00:41:892,49.699,0,48.838,0,49.933,0,40.35,0,39.483,0,58.067,0,45.678,0,44.982,0,46.793,0,46.024,0,46.359,0,44.244,0,68.316,0,49.367,0,50.935,0,50.008,0,49.386,0,50.064,0,55.193,0,45.088,0,47.447,0,48.334,0,46.253,0,46.705,0,45.48,0,44.152,0,44.786,0,46.079,0,46.332,0,45.818,0
7,2018/10/30 10:00:51:892,49.549,0,49.344,0,49.796,0,40.055,0,39.406,0,58.579,0,45.988,0,44.126,0,47.606,0,46.319,0,45.903,0,43.58,0,67.655,0,49.589,0,50.831,0,49.22,0,49.497,0,50.245,0,55.191,0,45.362,0,46.298,0,48.114,0,45.484,0,46.384,0,45.996,0,44.652,0,45.3,0,46.091,0,46.36,0,46.358,0
8,2018/10/30 10:01:01:892,50.81,0,49.888,0,49.804,0,40.187,0,39.446,0,57.803,0,45.421,0,44.175,0,47.039,0,46.164,0,46.347,0,42.783,0,68.548,0,48.789,0,50.814,0,49.001,0,50.629,0,49.752,0,55.559,0,46.016,0,47.177,0,48.515,0,45.427,0,46.713,0,46.028,0,44.644,0,45.463,0,46.09,0,46.77,0,46.242,0
9,2018/10/30 10:01:11:892,50.379,0,48.875,0,49.826,0,39.375,0,40.112,0,57.8,0,46.289,0,44.926,0,48.128,0,46.334,0,45.603,0,44.232,0,68.779,0,49.153,0,51.432,0,49.232,0,49.527,0,50.508,0,55.476,0,45.145,0,47.266,0,48.057,0,46.319,0,46.548,0,45.915,0,43.893,0,44.773,0,46.707,0,47.163,0,45.468,0
10,2018/10/30 10:01:21:892,50.024,0,48.766,0,50.002,0,39.706,0,39.818,0,57.625,0,45.964,0,45.084,0,47.983,0,46.384,0,44.839,0,43.533,0,67.414,0,49.646,0,50.809,0,49.021,0,50.281,0,50.043,0,56.002,0,46.013,0,46.709,0,48.909,0,46.135,0,46.562,0,45.99,0,43.928,0,45.397,0,46.84,0,46.852,0,46.266,0
